AAPL
MSFT
TSM
INTC
CSCO
ORCL
SAP
ADBE
CRM
NVDA
ACN
ASML
AVGO
TXN
IBM
QCOM
FIS
SNE
INTU
MU
VMW
UBER
AMAT
AMD
NOW
SHOP
ADI
LRCX
INFY
ADSK
WDAY
DELL
NXPI
CTSH
TEL
APH
TEAM
HPQ
CAJ
ERIC
SQ
MSI
KLAC
MCHP
FTV-PA
FTV
FLT
XLNX
SPLK
STM
VRSN
GLW
PANW
GIB
ANSS
SNPS
WDC
HPE
SWKS
CDNS
CDW
KEYS
FTNT
GRMN
MRVL
CHKP
MXIM
NLOK
PAYC
STX
RNG
ANET
SSNC
OKTA
CTXS
AKAM
NTAP
BR
IT
LDOS
DOCU
LYFT
ZBRA
TDY
QRVO
WORK
EPAM
OTEX
TYL
STNE
UI
GDDY
DDOG
TER
FICO
PAGS
JKHY
CRWD
ASX
COUP
